name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,winratio,location
Enrique Barzola,2019-10-26,6,2,0,0,1,3.93,0.39,0.2,4.56,0.45,4,24,0,0,1,5,0,0,0,30,Orthodox,0.75,Lima Peru
Enrique Marin,2016-07-09,0,1,0,1,0,27.0,0.28,0.0,1.0,0.33,0,3,1,0,0,0,0,0,0,29,Orthodox,0.0,"Huntington Beach, California United States"
Eric Shelton,2018-11-10,1,3,0,1,0,47.5,0.45,0.25,2.5,0.385,1,12,0,0,0,1,0,0,0,27,Orthodox,0.25,"Davenport, Iowa USA"
Eric Spicely,2019-06-22,2,4,0,3,0,3.71,0.45,1.0,1.31,0.2,2,9,0,0,0,0,0,2,0,32,Orthodox,0.3333333333333333,"Olneyville, Rhode Island USA"
Erick Montano,2016-11-05,1,1,0,1,0,35.0,0.465,0.0,2.0,0.455,1,6,1,0,1,0,0,0,0,30,Orthodox,0.5,Mexico City Mexico
Erick Silva,2017-12-16,7,7,0,1,0,18.0,0.548571429,0.714285714,0.428571429,0.172142857,2,25,0,0,0,0,2,5,0,33,Orthodox,0.5,"Vila Velha, Espirito Santo Brazil"
Ericka Almeida,2015-10-24,0,1,0,1,0,13.0,0.35,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,26,Orthodox,0.0,"Sorocaba, Sao Paulo Brazil"
Erik Koch,2019-07-27,7,6,0,2,0,2.33,0.42,1.0,1.02,0.42,4,27,0,0,0,2,3,2,0,30,Southpaw,0.5384615384615384,"Milwaukee, WI USA"
Erik Perez,2016-11-05,6,2,0,0,2,31.125,0.4825,0.125,2.0,0.33125,3,17,0,0,0,3,2,1,0,26,Orthodox,0.75,Monterrey Mexico
Ernest Chavez,2014-10-04,1,1,0,1,0,41.0,0.415,0.0,1.0,0.5,1,6,0,0,1,0,0,0,0,31,Orthodox,0.5,"Orange County, CA USA"
