name,date,wins,losses,draw,current_lose_streak,current_win_streak,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_DoctoStoppage,age,Stance,Height_cms,Reach_cms,winratio
Roy Nelson,2017-04-15,9,9,0,0,1,22.61111111,0.382777778,0.055555556,0.833333333,0.153333333,3,42,1,0,0,1,8,0,0,40,Orthodox,182.88,182.88,0.5
Royston Wee,2015-05-16,2,0,0,0,2,13.0,0.64,0.0,4.5,0.8,2,6,0,0,1,1,0,0,0,28,Orthodox,170.18,170.18,1.0
Ruan Potts,2015-02-28,0,2,0,2,0,5.0,0.17,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,37,Orthodox,187.96,190.5,0.0
Ruslan Magomedov,2015-10-03,2,0,0,0,2,55.0,0.415,0.0,0.5,0.5,2,6,0,0,0,2,0,0,0,28,Orthodox,190.5,198.12,1.0
Russell Doane,2018-02-24,3,4,0,0,1,19.28571429,0.408571429,0.571428571,1.428571429,0.19,2,14,0,0,1,0,1,1,0,31,Orthodox,170.18,177.8,0.42857142857142855
Rustam Khabilov,2019-02-23,9,2,0,0,6,25.81818182,0.357272727,0.090909091,3.454545455,0.462727273,6,30,0,0,1,6,1,0,1,32,Orthodox,172.72,185.42,0.8181818181818182
Ryan Bader,2016-11-19,14,5,0,0,1,25.84210526,0.371578947,0.263157895,2.157894737,0.256842105,5,44,1,0,1,8,4,1,0,33,Orthodox,187.96,187.96,0.7368421052631579
Ryan Benoit,2021-07-31,3,5,0,2,0,2.88,0.39,0.4,0.28,0.22,1,20,0,0,1,0,2,0,0,31,Orthodox,165.1,172.72,0.375
Ryan Couture,2013-08-31,0,1,0,1,0,29.0,0.37,0.0,1.0,0.14,0,2,0,0,0,0,0,0,0,31,Orthodox,177.8,190.5,0.0
Ryan Hall,2021-07-10,4,0,0,0,4,2.3,0.44,0.9,0.29,0.11,4,10,0,0,0,3,0,1,0,36,Southpaw,177.8,177.8,1.0
Ryan Janes,2017-12-01,1,2,0,2,0,56.0,0.393333333,0.0,0.333333333,0.333333333,1,7,0,0,0,1,0,0,0,36,Orthodox,190.5,193.04,0.3333333333333333
Ryan Jensen,2011-04-30,2,5,0,1,0,14.28571429,0.487142857,0.571428571,0.571428571,0.332857143,1,10,0,0,0,0,0,2,0,33,Orthodox,185.42,193.04,0.2857142857142857
Ryan Jimmo,2015-05-30,3,3,0,1,0,28.66666667,0.703333333,0.0,0.333333333,0.25,1,12,0,0,0,1,2,0,0,33,Orthodox,185.42,185.42,0.5
Ryan LaFlare,2018-10-06,7,2,0,0,1,43.55555556,0.4,0.222222222,2.333333333,0.311111111,4,28,0,0,0,7,0,0,0,35,Southpaw,185.42,187.96,0.7777777777777778
Ryan MacDonald,2019-09-14,0,1,0,1,0,2.28,0.29,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,26,Switch,180.34,180.34,0.0
Ryan Spann,2021-09-18,6,2,0,0,1,3.43,0.44,1.6,1.58,0.38,5,13,0,0,1,1,2,2,0,30,Orthodox,195.58,200.66,0.75
Sabah Homasi,2018-01-20,0,2,0,2,0,36.0,0.53,0.0,1.0,0.5,0,3,0,0,0,0,0,0,0,29,Orthodox,182.88,182.88,0.0
Sabina Mazo,2021-02-27,3,1,0,0,3,6.56,0.44,0.2,0.81,0.8,3,12,0,0,1,1,0,1,0,23,Orthodox,170.18,177.8,0.75
Sage Northcutt,2018-07-14,5,2,0,0,2,34.71428571,0.581428571,0.285714286,1.142857143,0.415714286,2,16,0,0,0,3,1,1,0,22,Orthodox,182.88,180.34,0.7142857142857143
Sai Wang,2014-08-23,0,1,0,1,0,31.0,0.39,0.0,0.0,0.0,0,3,1,0,0,0,0,0,0,28,Southpaw,182.88,182.88,0.0
Said Nurmagomedov,2020-10-17,2,1,0,1,0,4.22,0.44,0.0,0.46,0.07,2,7,0,0,1,0,1,0,0,28,Orthodox,172.72,177.8,0.6666666666666666
Saidyokub Kakhramonov,2021-08-21,0,0,0,0,0,2.46,0.55,4.1,2.05,0.28,0,0,0,0,0,0,0,0,0,25,Orthodox,172.72,175.26,
Salim Touahri,2019-08-03,0,2,0,2,0,2.6,0.46,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,29,Orthodox,177.8,182.88,0.0
Sam Alvey,2021-08-28,10,10,1,5,0,3.29,0.44,0.1,0.07,0.16,4,46,0,0,2,2,5,1,0,35,Southpaw,187.96,190.5,0.47619047619047616
Sam Hughes,2021-05-01,0,1,0,1,0,3.45,0.54,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,28,Orthodox,165.1,162.56,0.0
Sam Sicilia,2016-09-17,5,5,0,1,0,22.6,0.401,0.6,1.0,0.376,2,20,0,0,0,2,3,0,0,30,Orthodox,172.72,170.18,0.5
Sam Stout,2015-08-23,9,10,0,2,0,52.26315789,0.290526316,0.105263158,0.526315789,0.201578947,2,50,0,0,3,5,1,0,0,31,Orthodox,175.26,177.8,0.47368421052631576
Santiago Ponzinibbio,2021-06-05,9,3,0,1,0,4.65,0.4,0.0,0.46,0.36,7,26,0,0,0,4,5,0,0,34,Orthodox,182.88,185.42,0.75
Saparbeg Safarov,2020-03-07,1,2,0,0,1,4.29,0.48,0.0,2.8,0.41,1,6,0,0,0,1,0,0,0,33,Orthodox,185.42,198.12,0.3333333333333333
Sara McMann,2021-01-23,10,5,0,0,1,2.39,0.46,0.6,4.51,0.63,5,34,1,0,1,5,1,3,0,40,Orthodox,167.64,167.64,0.6666666666666666
Sarah Alpar,2021-09-18,1,1,0,1,0,2.36,0.44,0.4,1.61,0.26,1,5,0,0,0,0,0,1,0,30,Southpaw,162.56,160.02,0.5
Sarah Frota,2019-07-27,0,1,0,1,0,4.52,0.52,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,32,Southpaw,167.64,175.26,0.0
Sarah Kaufman,2015-04-25,1,1,0,0,1,144.5,0.47,0.0,0.5,0.5,1,6,0,0,0,1,0,0,0,29,Orthodox,165.1,170.18,0.5
Sarah Moras,2021-01-16,3,5,0,1,0,2.18,0.38,0.9,0.77,0.22,1,21,0,0,0,1,1,1,0,32,Orthodox,170.18,170.18,0.375
Sasha Palatnikov,2021-08-21,1,1,0,1,0,6.69,0.53,0.0,0.72,1.0,1,5,0,0,0,0,1,0,0,32,Switch,185.42,182.88,0.5
Scott Askham,2017-03-18,2,3,0,1,0,23.8,0.586,0.6,0.2,0.1,1,11,0,0,0,0,2,0,0,28,Southpaw,190.5,190.5,0.4
Scott Holtzman,2021-04-10,7,4,0,1,0,4.32,0.48,0.2,2.07,0.56,3,30,0,0,0,4,2,1,0,37,Orthodox,175.26,175.26,0.6363636363636364
Scott Jorgensen,2015-11-21,4,7,0,2,0,34.72727273,0.411818182,0.181818182,1.727272727,0.32,2,25,0,0,0,2,1,1,0,33,Orthodox,165.1,167.64,0.36363636363636365
Sean Brady,2021-03-06,3,0,0,0,3,4.72,0.55,1.2,2.69,0.6,3,8,0,0,0,2,0,1,0,28,Orthodox,177.8,182.88,1.0
Sean McCorkle,2011-03-26,1,1,0,1,0,2.0,0.22,2.0,0.5,0.5,1,2,0,0,0,0,0,1,0,34,Orthodox,200.66,205.74,0.5
Sean O'Connell,2016-12-09,2,4,0,2,0,49.16666667,0.48,0.333333333,0.0,0.0,2,12,0,0,0,0,2,0,0,33,Orthodox,185.42,187.96,0.3333333333333333
Sean O'Malley,2021-07-10,6,1,0,0,1,8.25,0.62,0.6,0.63,0.5,5,13,0,0,0,2,4,0,0,26,Switch,180.34,182.88,0.8571428571428571
Sean Pierson,2013-06-15,3,2,0,0,2,52.4,0.348,0.4,0.4,0.166,2,13,0,0,0,3,0,0,0,37,Southpaw,182.88,193.04,0.6
Sean Sherk,2010-09-25,7,4,0,1,0,34.27272727,0.478181818,0.363636364,4.090909091,0.4,3,35,4,0,0,5,0,1,1,37,Orthodox,167.64,170.18,0.6363636363636364
Sean Soriano,2021-05-15,0,3,0,3,0,3.49,0.61,0.0,1.08,0.42,0,8,0,0,0,0,0,0,0,31,Orthodox,175.26,177.8,0.0
Sean Spencer,2016-09-10,3,4,0,2,0,62.71428571,0.312857143,0.0,0.142857143,0.071428571,2,21,0,0,1,2,0,0,0,29,Orthodox,177.8,190.5,0.42857142857142855
Sean Strickland,2021-07-31,10,3,0,0,4,5.45,0.4,0.3,1.32,0.61,4,33,0,0,2,4,3,1,0,30,Orthodox,185.42,193.04,0.7692307692307693
Sean Woodson,2021-06-05,2,1,0,1,0,5.27,0.43,0.6,0.0,0.0,2,8,0,0,0,1,1,0,0,28,Orthodox,187.96,198.12,0.6666666666666666
