,Winner,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age
76,Red,1,0,0,3.37,0.36,0.7,2.93,0.66,1,1,2,0,0,0,0,0,1,0,1,Orthodox,172.72,175.26,2,0,0,4.39,0.39,0.0,0.2,0.25,1,4,13,0,0,0,1,0,0,0,1,Orthodox,170.18,177.8,30,25
77,Red,0,3,0,3.28,0.48,1.1,2.08,0.48,3,11,55,0,0,1,3,4,5,0,13,Orthodox,185.42,195.58,0,1,0,4.13,0.54,0.3,0.56,0.25,4,2,10,0,0,0,0,4,1,0,5,Orthodox,182.88,193.04,33,40
78,Blue,0,1,0,2.41,0.34,0.7,1.57,0.25,2,4,24,1,0,2,0,1,2,0,5,Orthodox,165.1,170.18,4,0,0,5.16,0.39,0.1,0.19,0.22,3,6,31,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,35,38
79,Red,0,1,0,4.12,0.52,1.2,1.19,1.0,1,1,3,0,0,0,0,1,1,0,2,Southpaw,170.18,185.42,2,0,0,3.71,0.47,0.0,0.86,0.28,0,2,6,0,0,0,0,0,0,0,0,Southpaw,165.1,172.72,27,29
80,Red,0,1,0,2.7,0.25,0.7,0.98,0.14,1,2,7,0,0,0,0,0,1,0,1,Orthodox,165.1,177.8,0,1,0,4.03,0.53,0.0,0.99,0.3,2,1,11,0,0,1,1,1,0,0,3,Orthodox,170.18,167.64,27,36
81,Blue,0,0,0,7.0,0.57,0.0,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,1,0,0,3.71,0.41,0.0,1.56,0.27,1,1,4,0,0,0,0,1,0,0,1,Orthodox,165.1,162.56,31,25
82,Red,1,0,0,0.79,0.21,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,1,0,0,2.79,0.42,2.7,2.66,0.21,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,28,28
83,Blue,0,4,0,5.45,0.4,0.3,1.32,0.61,4,3,33,0,0,2,4,3,1,0,10,Orthodox,185.42,193.04,0,4,0,3.47,0.49,0.2,0.58,0.38,4,7,37,0,0,1,1,8,0,0,10,Orthodox,182.88,200.66,37,30
84,Red,1,0,0,3.39,0.54,1.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,1,0,0,4.32,0.54,0.0,0.48,0.33,1,1,6,0,0,0,1,0,0,0,1,Switch,160.02,160.02,26,26
85,Blue,2,0,0,5.04,0.42,0.0,0.96,1.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,182.88,195.58,1,0,0,2.29,0.43,0.0,0.93,1.0,0,1,3,0,0,0,0,0,0,0,0,Switch,182.88,190.5,28,27
86,Blue,0,1,0,6.69,0.62,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,175.26,177.8,0,1,0,5.18,0.54,0.0,2.75,0.8,1,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,180.34,28,29
87,Blue,1,0,0,2.63,0.49,1.3,6.46,0.45,1,2,4,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,0,1,0,5.26,0.48,0.4,0.21,0.25,2,5,28,0,0,0,2,3,1,0,6,Southpaw,182.88,182.88,32,34
88,Red,1,0,0,4.13,0.34,0.5,2.5,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,1,0,0,6.93,0.56,0.0,0.0,0.0,2,3,12,0,0,0,1,2,0,0,3,Orthodox,172.72,172.72,35,26
89,Red,1,0,0,3.08,0.39,0.6,1.2,0.3,2,6,27,0,0,1,2,0,0,0,3,Southpaw,170.18,175.26,0,1,0,2.86,0.44,0.5,0.78,0.37,1,2,9,0,0,0,1,0,0,0,1,Southpaw,160.02,165.1,36,33
90,Blue,2,0,0,3.54,0.39,0.5,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,Southpaw,165.1,165.1,2,0,0,2.88,0.39,0.4,0.28,0.22,1,5,20,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,31,29
91,Red,0,1,0,3.7,0.55,0.0,1.87,0.42,1,0,3,0,0,0,0,1,0,0,1,Switch,180.34,180.34,1,0,0,4.97,0.56,0.0,0.87,0.33,1,1,6,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,31,27
92,Blue,1,0,0,5.26,0.41,0.8,1.63,0.3,4,4,43,7,0,0,4,7,1,0,12,Orthodox,167.64,170.18,0,2,0,6.32,0.47,0.6,0.74,0.44,5,1,15,0,0,1,1,4,1,0,7,Switch,180.34,177.8,29,35
93,Blue,0,2,0,4.24,0.43,0.2,0.62,0.27,2,2,12,0,0,1,1,1,0,0,3,Orthodox,172.72,175.26,0,4,0,5.2,0.49,0.3,3.2,0.55,4,0,9,0,0,0,2,2,0,0,4,Orthodox,172.72,182.88,26,25
94,Red,0,2,0,2.96,0.66,4.0,3.11,0.7,2,2,7,0,0,0,1,0,1,0,2,Orthodox,170.18,175.26,0,1,0,3.46,0.38,1.1,2.67,0.33,6,8,60,0,0,2,8,3,2,0,15,Orthodox,177.8,180.34,37,31
95,Blue,2,0,0,4.67,0.49,0.2,1.36,0.33,4,2,14,0,0,0,0,4,0,0,4,Switch,165.1,165.1,0,2,0,4.77,0.43,0.0,1.71,0.8,2,0,4,0,0,0,1,1,0,0,2,Southpaw,160.02,165.1,24,23
96,Red,0,2,0,8.64,0.46,0.0,0.0,0.0,2,1,4,0,0,0,0,2,0,0,2,Switch,175.26,185.42,0,3,0,6.13,0.38,0.0,0.0,0.0,3,0,5,0,0,0,0,3,0,0,3,Orthodox,170.18,177.8,27,27
97,Blue,0,1,0,4.1,0.52,1.6,1.29,0.45,4,1,10,0,0,0,1,1,3,0,5,Orthodox,187.96,190.5,0,3,0,4.44,0.43,0.0,1.58,0.66,3,0,5,0,0,0,1,2,0,0,3,Southpaw,180.34,182.88,28,25
98,Red,1,0,0,3.25,0.5,0.7,1.02,0.17,3,3,17,0,0,0,2,2,0,0,4,Orthodox,180.34,182.88,1,0,0,4.3,0.54,1.6,0.79,0.22,1,1,6,0,0,0,1,0,0,0,1,Orthodox,190.5,190.5,26,32
99,Red,1,0,0,5.97,0.5,0.0,1.23,0.57,1,2,10,0,0,0,0,1,0,0,1,Southpaw,185.42,190.5,1,0,0,2.6,0.46,2.4,1.32,0.28,3,3,16,0,0,0,1,0,4,0,5,Switch,187.96,187.96,29,30
100,Red,1,0,0,4.35,0.41,0.1,0.27,0.66,2,3,21,0,0,3,1,0,0,0,4,Southpaw,172.72,190.5,1,0,0,4.31,0.36,0.5,0.52,0.3,3,2,17,0,0,0,1,2,1,0,4,Southpaw,170.18,177.8,31,33
101,Red,0,0,0,0.26,0.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,2,0,0,4.56,0.43,0.4,1.94,0.47,2,4,24,0,0,0,4,0,0,0,4,Orthodox,162.56,170.18,36,28
102,Red,1,0,0,6.4,0.47,0.0,0.67,0.33,1,1,6,0,0,0,1,0,0,0,1,Orthodox,162.56,154.94,2,0,0,6.72,0.46,0.0,0.92,0.66,0,2,4,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,25,29
