,Winner,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age
576,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,0,1,0,4.29,0.55,1.1,1.26,0.43,3,2,15,0,0,1,1,1,1,0,4,Orthodox,190.5,205.74,27,26
577,Red,0,0,0,4.07,0.63,0.0,4.0,0.66,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,175.26,1,0,0,5.25,0.47,0.0,0.29,0.25,3,2,12,0,0,0,2,1,0,0,3,Southpaw,177.8,182.88,24,30
578,Red,0,1,0,2.43,0.42,1.0,3.0,0.37,1,1,6,0,0,0,1,0,0,0,1,Orthodox,182.88,182.88,1,0,0,4.49,0.43,0.0,2.25,0.33,2,3,21,1,0,0,4,0,0,0,4,Orthodox,185.42,187.96,32,24
579,Red,0,1,0,23.41,0.53,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,0,1,0,2.66,0.37,1.0,2.08,0.33,1,1,9,0,0,0,1,0,1,0,2,Southpaw,167.64,167.64,34,30
580,Red,0,0,0,7.27,0.72,0.0,4.0,0.25,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,0,2,0,3.0,0.53,1.0,3.0,0.42,2,0,6,0,0,0,2,0,0,0,2,Switch,177.8,182.88,23,33
581,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,1,0,0,2.27,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,167.64,167.64,31,29
582,Red,0,4,0,4.11,0.52,0.8,6.77,0.4,4,0,6,0,0,1,0,2,1,0,4,Orthodox,187.96,187.96,0,2,0,3.39,0.45,0.5,2.8,0.29,5,6,36,0,0,0,6,6,2,0,14,Southpaw,185.42,195.58,36,22
583,Blue,1,0,0,4.05,0.38,0.0,0.25,0.5,2,2,12,0,0,0,2,0,0,0,2,Orthodox,162.56,162.56,0,1,0,6.19,0.47,0.5,1.85,0.56,2,4,24,0,0,1,3,1,1,0,6,Orthodox,167.64,165.1,34,31
584,Red,0,2,0,3.41,0.47,0.6,0.95,0.46,2,3,23,0,0,0,2,2,2,0,6,Orthodox,190.5,198.12,0,1,0,5.66,0.53,0.8,0.73,0.5,6,3,28,0,0,1,0,7,3,0,11,Orthodox,180.34,190.5,28,30
585,Blue,0,1,1,5.01,0.49,0.4,1.19,0.31,8,7,47,0,0,2,4,1,3,0,10,Orthodox,177.8,180.34,0,1,2,4.72,0.44,0.4,1.15,0.36,1,4,22,0,0,0,1,1,1,0,3,Orthodox,175.26,180.34,28,33
586,Blue,1,0,0,3.67,0.47,0.0,0.51,0.28,2,2,12,0,0,0,1,1,0,0,2,Southpaw,172.72,177.8,1,0,0,3.97,0.46,0.1,1.77,0.32,3,4,25,0,0,2,3,0,0,0,5,Orthodox,167.64,167.64,39,26
587,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,27,29
588,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,1,0,0,4.96,0.52,0.0,1.42,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,31,30
589,Red,0,1,1,2.41,0.46,0.0,0.66,0.41,4,2,24,1,0,1,3,2,0,0,6,Southpaw,182.88,187.96,1,0,0,4.77,0.39,0.0,0.36,0.57,9,3,37,3,0,1,5,5,0,0,11,Orthodox,182.88,185.42,29,27
590,Red,1,0,0,2.39,0.34,0.8,0.67,0.44,7,8,57,0,0,3,4,8,4,0,19,Southpaw,187.96,190.5,0,1,1,3.63,0.5,0.8,2.17,0.48,8,11,76,4,0,1,3,21,1,0,26,Orthodox,185.42,193.04,38,44
591,Red,2,0,0,4.02,0.4,0.4,1.56,0.39,6,6,42,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,2,0,0,3.61,0.52,1.1,1.71,0.31,6,9,71,3,0,0,6,6,10,0,22,Orthodox,193.04,195.58,42,33
592,Red,0,2,2,5.6,0.5,0.2,0.48,0.33,2,0,12,0,0,0,2,0,0,0,2,Orthodox,167.64,165.1,0,3,0,2.3,0.41,0.3,3.28,0.33,3,4,32,2,1,1,4,0,1,0,7,Orthodox,154.94,160.02,32,33
593,Red,2,0,0,2.32,0.51,3.5,8.7,0.41,2,2,4,0,0,0,0,0,2,0,2,Orthodox,180.34,177.8,0,1,1,2.33,0.48,1.5,1.65,0.21,1,4,18,0,0,0,0,0,4,0,4,Orthodox,190.5,193.04,32,33
594,Red,1,0,0,2.17,0.39,0.6,1.76,0.35,2,5,22,0,0,0,2,1,1,0,4,Southpaw,182.88,190.5,0,1,0,2.88,0.5,0.6,2.69,0.37,4,6,39,0,0,1,2,4,3,0,10,Orthodox,180.34,193.04,32,33
595,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,0,1,0,6.94,0.82,2.4,4.84,1.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,187.96,190.5,26,30
596,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,0,2,0,3.13,0.43,0.5,1.02,0.44,7,6,53,0,0,1,8,4,2,0,15,Southpaw,175.26,177.8,41,32
597,Blue,3,0,0,3.09,0.46,0.3,0.67,0.4,0,3,9,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,0,1,1,3.03,0.38,0.0,1.8,0.45,1,2,15,0,0,1,1,0,0,0,2,Orthodox,180.34,187.96,35,34
598,Red,0,1,0,4.15,0.39,0.5,0.72,0.23,1,3,14,0,0,1,1,1,0,0,3,Orthodox,190.5,198.12,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,195.58,27,31
599,Red,0,1,0,3.4,0.58,0.0,1.55,0.33,1,0,2,0,0,0,0,1,0,0,1,Orthodox,170.18,182.88,0,2,0,4.03,0.38,0.0,4.5,0.33,2,0,6,0,0,0,2,0,0,0,2,Orthodox,170.18,182.88,26,33
600,Red,0,1,0,2.4,0.25,0.0,0.0,0.0,1,1,4,0,0,0,1,0,0,0,1,Orthodox,190.5,198.12,0,1,0,4.28,0.5,0.0,0.0,0.0,1,1,7,0,0,0,1,1,0,0,2,Orthodox,187.96,190.5,28,31
601,Blue,0,1,0,4.03,0.41,0.4,0.4,0.2,1,2,8,1,0,0,1,0,0,0,1,Orthodox,170.18,167.64,0,1,1,4.47,0.44,0.0,0.37,0.2,3,4,27,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,37,28
602,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,182.88,1,0,0,2.38,0.43,0.2,1.5,0.22,3,1,12,0,0,0,3,0,0,0,3,Southpaw,177.8,193.04,33,27
603,Red,0,0,0,3.2,0.46,0.0,2.0,0.28,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,177.8,1,0,0,4.3,0.43,1.5,1.9,0.71,3,1,10,0,0,0,0,0,3,0,3,Orthodox,167.64,175.26,27,28
604,Red,1,0,0,3.53,0.34,0.6,1.5,0.3,6,6,67,4,0,1,10,6,4,0,21,Southpaw,162.56,165.1,0,3,0,2.54,0.52,2.4,1.81,0.5,4,1,18,1,0,1,1,4,1,0,7,Orthodox,165.1,172.72,32,35
605,Red,2,0,0,3.75,0.43,0.1,0.8,0.35,5,5,43,2,0,3,2,3,2,0,10,Southpaw,175.26,180.34,1,0,0,5.13,0.48,0.7,2.23,0.36,4,3,20,0,0,0,2,3,2,0,7,Orthodox,185.42,195.58,32,28
606,Blue,0,1,0,4.08,0.5,0.0,0.91,1.0,1,1,4,0,0,0,1,0,0,0,1,Switch,172.72,180.34,0,2,0,2.86,0.37,0.0,2.5,0.4,3,3,21,0,0,0,3,2,0,0,5,Orthodox,177.8,185.42,27,27
607,Red,0,1,0,6.53,0.5,2.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,0,1,0,3.38,0.31,0.3,0.33,1.0,1,2,9,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,26,27
608,Blue,0,1,1,3.43,0.48,0.0,2.0,0.22,1,0,6,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,0,1,0,4.58,0.47,1.3,1.1,0.35,3,2,18,0,0,1,1,2,2,0,6,Orthodox,165.1,170.18,30,27
609,Red,2,0,0,5.23,0.52,0.0,1.67,0.3,0,2,6,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,32,25
610,Red,1,0,0,3.8,0.43,0.0,2.64,0.41,2,1,8,0,0,0,2,0,0,0,2,Orthodox,172.72,177.8,0,3,0,3.48,0.48,2.5,5.09,0.48,3,0,7,0,0,0,1,0,2,0,3,Switch,177.8,182.88,26,33
611,Blue,0,1,0,2.55,0.33,0.0,0.0,0.0,1,1,5,0,0,0,0,1,0,0,1,Orthodox,190.5,195.58,2,0,0,2.56,0.33,0.8,0.75,0.6,2,3,14,0,0,0,1,1,2,0,4,Orthodox,177.8,185.42,32,26
612,Red,0,3,0,4.16,0.55,0.2,4.84,0.79,3,1,10,0,0,0,2,0,1,0,3,Southpaw,177.8,190.5,0,1,0,3.3,0.48,1.0,4.29,0.52,3,2,16,0,0,0,2,0,2,0,4,Orthodox,170.18,180.34,28,28
613,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,180.34,30,26
614,Blue,0,1,0,2.0,0.4,0.0,1.5,0.13,1,1,6,0,0,0,1,0,0,0,1,Orthodox,170.18,182.88,1,0,0,2.74,0.39,0.7,2.42,0.5,4,2,14,0,0,0,1,0,3,0,4,Orthodox,167.64,177.8,33,23
615,Blue,1,0,0,2.08,0.39,0.6,3.74,0.66,1,2,6,0,0,0,0,0,1,0,1,Orthodox,190.5,198.12,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,25,25
616,Red,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,17,0,0,2,2,1,1,0,6,Orthodox,170.18,180.34,0,1,0,5.29,0.41,0.0,0.42,0.28,2,2,16,0,0,0,1,4,0,0,5,Orthodox,180.34,182.88,32,28
617,Red,1,0,0,2.8,0.4,0.2,0.2,0.16,1,4,17,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,3,0,0,3.41,0.46,1.2,4.31,0.55,2,9,33,1,0,0,3,0,1,0,4,Southpaw,170.18,167.64,33,30
618,Red,0,1,1,4.51,0.49,0.0,3.34,0.48,3,1,20,0,0,2,3,0,0,0,5,Orthodox,167.64,162.56,2,0,0,4.1,0.4,0.0,0.7,0.23,5,3,23,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,31,30
619,Blue,1,0,0,4.23,0.49,1.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,0,3,0,6.49,0.49,0.9,2.59,0.33,3,1,11,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,30,27
620,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,0,3,0,4.59,0.46,0.0,0.57,0.33,3,1,7,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,34,32
621,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,0,1,0,2.64,0.34,0.0,0.0,0.0,1,3,8,0,0,0,0,1,0,0,1,Southpaw,180.34,190.5,35,26
622,Blue,0,0,1,1.87,0.35,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,Orthodox,175.26,185.42,0,2,0,3.05,0.39,0.7,2.13,0.64,3,1,14,0,0,1,2,1,1,0,5,Orthodox,175.26,182.88,24,28
623,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,190.5,190.5,26,31
624,Red,1,0,0,2.53,0.31,1.5,4.55,0.5,1,2,5,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,1,0,0,6.26,0.54,0.0,2.98,0.39,2,3,13,0,0,0,2,1,0,0,3,Orthodox,175.26,172.72,31,28
625,Blue,1,0,0,1.53,0.42,0.0,2.41,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,1,0,0,6.53,0.38,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,24,25
626,Red,2,0,0,1.87,0.59,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,0,1,0,3.58,0.5,1.2,4.67,0.57,1,0,3,0,0,0,0,0,1,0,1,Orthodox,172.72,180.34,25,30
627,Red,0,3,0,4.33,0.47,0.4,1.7,0.59,4,7,65,1,0,1,8,7,1,0,17,Orthodox,180.34,187.96,0,11,0,4.6,0.52,0.2,3.44,0.5,11,0,38,3,0,0,8,2,1,0,11,Switch,182.88,193.04,33,36
628,Red,1,0,0,6.66,0.44,0.4,0.24,0.83,13,5,65,7,0,1,5,9,2,0,17,Orthodox,180.34,175.26,0,8,0,6.15,0.57,0.4,2.16,0.34,8,0,23,1,0,0,5,3,0,0,8,Orthodox,167.64,180.34,31,28
629,Red,2,0,0,3.47,0.44,0.1,0.64,0.65,15,5,68,14,0,0,7,11,0,0,18,Orthodox,170.18,177.8,0,6,0,5.65,0.46,0.2,1.73,0.53,6,0,15,0,0,0,3,3,0,0,6,Switch,170.18,170.18,27,33
630,Blue,1,0,0,3.95,0.42,0.9,2.17,0.55,3,3,25,4,0,0,2,1,3,0,6,Orthodox,165.1,165.1,1,0,0,6.55,0.51,0.5,3.21,0.58,4,5,36,3,0,1,5,3,2,0,11,Orthodox,154.94,157.48,28,28
631,Red,0,1,0,3.4,0.52,1.0,1.31,0.33,3,3,22,0,0,0,1,2,2,0,5,Orthodox,162.56,165.1,0,3,0,4.84,0.44,1.6,2.02,0.5,3,0,8,0,0,0,2,0,1,0,3,Orthodox,160.02,167.64,26,26
632,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,0,2,0,4.88,0.45,0.0,0.39,0.22,3,3,18,1,0,2,0,3,0,0,5,Orthodox,187.96,190.5,30,27
633,Blue,0,3,0,2.92,0.46,0.0,1.22,0.42,3,1,8,0,0,0,1,2,0,0,3,Orthodox,180.34,177.8,0,1,0,4.17,0.39,0.5,0.65,0.2,7,2,25,0,0,1,3,3,1,0,8,Orthodox,180.34,185.42,33,36
634,Red,1,0,0,5.85,0.53,2.7,0.89,0.33,2,1,5,0,0,0,1,0,1,0,2,Orthodox,182.88,185.42,1,0,0,1.6,0.47,1.5,3.39,0.34,3,2,16,0,0,1,1,1,2,0,5,Southpaw,177.8,182.88,31,31
635,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,0,6,1,2.4,0.41,0.4,1.1,0.25,5,0,15,1,0,1,1,2,2,0,6,Orthodox,182.88,190.5,40,29
636,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,0,1,0,3.52,0.5,0.1,1.54,0.5,3,5,28,0,0,0,3,2,0,0,5,Orthodox,190.5,198.12,34,36
637,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,162.56,162.56,0,1,0,4.81,0.43,0.3,0.35,0.2,1,2,6,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,24,31
638,Red,2,0,0,3.6,0.28,0.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,0,1,0,11.4,0.48,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,170.18,25,32
639,Blue,0,1,0,3.13,0.52,0.0,2.64,0.47,1,3,12,1,0,1,1,0,0,0,2,Orthodox,172.72,175.26,1,0,0,5.6,0.49,1.0,1.0,0.66,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,31,34
640,Red,0,3,0,4.76,0.45,0.3,0.43,0.28,4,4,32,0,0,1,1,6,2,0,10,Switch,182.88,190.5,1,0,0,5.51,0.49,1.2,1.55,0.37,5,6,57,2,1,0,5,9,3,0,18,Southpaw,175.26,182.88,31,30
641,Red,0,1,0,2.22,0.43,2.7,1.5,0.38,3,2,13,0,0,0,1,0,4,0,5,Switch,187.96,187.96,2,0,0,4.27,0.47,0.0,0.61,0.41,2,6,27,0,0,1,1,4,0,0,6,Orthodox,177.8,180.34,28,28
642,Red,0,0,0,4.53,0.67,4.0,2.0,0.4,0,0,0,0,0,0,0,0,0,0,0,Southpaw,190.5,193.04,0,2,0,2.62,0.59,4.5,2.68,0.37,2,0,3,0,0,0,0,1,1,0,2,Orthodox,187.96,190.5,24,27
643,Blue,2,0,0,4.19,0.44,0.5,0.0,0.0,3,2,8,0,0,1,0,1,1,0,3,Orthodox,200.66,203.2,1,0,0,4.26,0.42,0.0,0.53,0.23,3,10,49,0,0,3,2,5,0,0,10,Orthodox,190.5,193.04,34,33
644,Blue,0,1,0,4.94,0.41,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,180.34,187.96,0,1,0,3.32,0.46,1.0,1.0,0.29,2,2,16,0,0,0,2,1,1,0,4,Southpaw,190.5,190.5,26,33
645,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,160.02,165.1,3,0,0,2.54,0.37,0.2,1.66,0.43,1,4,14,0,0,1,0,0,1,0,2,Orthodox,167.64,175.26,34,22
646,Blue,1,0,0,4.17,0.49,0.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,187.96,190.5,1,0,0,2.73,0.41,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,34,28
647,Blue,4,0,0,4.18,0.45,0.8,0.83,0.6,1,4,12,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,0,1,0,5.27,0.43,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,198.12,28,30
648,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,1,0,0,3.13,0.36,0.0,0.82,0.5,1,1,5,0,0,0,0,1,0,0,1,Southpaw,177.8,185.42,30,33
649,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,157.48,157.48,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,20,35
650,Blue,0,1,0,2.07,0.56,2.0,6.0,0.5,1,0,3,0,0,0,1,0,0,0,1,Switch,177.8,182.88,0,1,0,2.87,0.48,2.5,0.35,0.2,1,2,8,0,0,0,0,0,1,0,1,Southpaw,177.8,185.42,30,23
651,Red,0,1,0,5.36,0.6,0.2,0.75,0.75,4,1,19,0,0,1,2,2,0,0,5,Orthodox,200.66,203.2,0,3,0,3.74,0.51,0.0,6.63,0.55,5,2,25,0,0,0,3,5,0,0,8,Orthodox,193.04,203.2,29,31
652,Red,0,3,0,7.09,0.5,0.2,0.36,1.0,3,1,19,0,0,1,2,2,1,0,6,Orthodox,180.34,190.5,0,2,0,3.63,0.36,0.2,1.5,0.45,2,2,19,0,0,1,2,3,0,0,6,Orthodox,167.64,177.8,35,29
653,Red,2,0,1,3.46,0.41,1.1,0.35,1.0,2,4,27,0,0,0,1,2,2,0,5,Orthodox,167.64,172.72,1,0,0,3.32,0.46,0.8,1.13,0.27,4,5,35,1,0,2,3,0,2,0,7,Orthodox,170.18,170.18,31,43
654,Red,0,1,0,5.32,0.49,0.0,0.38,1.0,1,2,10,0,0,0,0,3,0,0,3,Orthodox,182.88,187.96,0,2,0,4.37,0.41,0.2,2.15,0.31,4,3,28,0,0,1,4,1,1,0,7,Orthodox,180.34,182.88,31,35
655,Red,0,2,0,3.12,0.49,1.1,1.83,0.57,2,1,12,0,0,0,2,0,2,0,4,Orthodox,187.96,185.42,1,0,0,2.83,0.4,1.9,1.69,0.41,7,13,76,0,0,2,6,3,9,0,20,Southpaw,172.72,180.34,36,26
656,Blue,2,0,1,4.95,0.49,0.3,1.12,0.29,8,7,44,0,0,2,3,1,3,0,9,Orthodox,177.8,180.34,1,0,0,2.45,0.33,0.7,3.39,0.38,4,14,84,2,0,3,8,2,4,0,17,Orthodox,170.18,177.8,38,33
657,Red,0,1,0,4.8,0.38,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,Southpaw,152.4,157.48,4,0,0,4.04,0.47,0.1,0.67,0.14,3,5,32,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,30,26
658,Red,3,0,0,3.19,0.55,1.9,0.76,0.5,2,3,9,0,0,0,1,1,0,0,2,Southpaw,182.88,193.04,3,0,0,3.53,0.43,0.0,0.33,0.16,0,3,9,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,30,30
659,Blue,1,0,0,2.18,0.5,1.3,3.44,0.47,2,2,9,0,0,0,0,1,3,0,4,Orthodox,165.1,160.02,0,1,0,4.72,0.38,0.7,0.34,0.3,2,6,27,0,0,1,1,1,2,0,5,Orthodox,170.18,170.18,33,25
660,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,1,0,0,6.68,0.46,0.0,1.18,0.45,1,4,14,0,0,1,0,1,0,0,2,Orthodox,177.8,185.42,31,30
661,Blue,0,2,0,3.76,0.38,0.0,1.03,0.32,2,4,24,0,0,2,0,2,0,0,4,Orthodox,165.1,170.18,0,1,0,3.06,0.31,0.1,1.45,0.21,1,6,26,2,0,1,1,1,0,0,3,Orthodox,170.18,175.26,37,36
662,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,1,0,0,3.02,0.44,0.0,1.0,0.6,1,2,9,0,0,0,1,0,0,0,1,Orthodox,177.8,180.34,28,25
663,Blue,0,2,1,4.12,0.43,1.6,1.83,0.43,3,1,12,0,0,0,2,0,3,0,5,Orthodox,162.56,162.56,0,1,0,3.79,0.38,0.7,0.46,0.45,3,6,8,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,33,32
664,Blue,0,2,1,4.05,0.41,0.6,1.43,0.45,2,2,8,0,0,0,3,0,1,0,4,Southpaw,182.88,187.96,0,2,0,3.16,0.52,0.8,1.07,0.57,2,2,7,0,0,1,1,0,2,0,4,Southpaw,185.42,187.96,29,26
665,Red,2,0,0,3.73,0.36,0.0,0.24,0.5,2,2,2,0,0,0,2,0,0,0,2,Orthodox,170.18,185.42,1,0,0,3.21,0.36,1.0,2.35,0.34,1,4,15,0,0,0,1,0,2,0,3,Switch,175.26,175.26,33,31
666,Red,0,1,0,4.85,0.43,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,1,Switch,175.26,175.26,1,0,0,4.0,0.37,0.2,2.49,0.45,2,6,12,0,0,1,4,3,0,0,8,Orthodox,180.34,187.96,29,24
667,Red,3,0,0,3.28,0.36,0.2,0.66,0.15,2,4,1,0,0,1,0,0,1,0,2,Orthodox,167.64,165.1,2,0,0,4.25,0.55,0.4,0.85,0.2,1,2,0,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,30,25
668,Red,2,0,0,4.71,0.44,0.3,0.31,1.0,2,3,0,0,0,1,1,0,0,0,2,Orthodox,154.94,157.48,0,0,0,2.6,0.48,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,172.72,23,27
669,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,0,3,0,3.84,0.37,0.0,7.8,0.45,3,2,7,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,29,30
670,Red,2,0,0,2.72,0.49,0.0,3.18,0.77,1,3,1,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,0,1,0,3.27,0.4,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,32,31
671,Red,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,165.1,2,0,0,3.0,0.27,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,36,27
672,Blue,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,182.88,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,30,28
673,Red,0,1,0,4.54,0.55,0.7,1.36,0.16,1,1,5,0,0,0,0,1,1,0,2,Orthodox,167.64,172.72,0,10,0,4.34,0.49,0.7,2.33,0.47,10,2,32,7,0,1,2,8,2,0,13,Orthodox,172.72,175.26,32,29
674,Blue,3,0,0,3.53,0.37,0.0,0.94,0.33,6,3,18,3,0,0,2,4,0,0,6,Orthodox,172.72,165.1,2,0,0,3.32,0.41,0.3,1.54,0.38,7,6,54,0,0,4,7,2,1,0,14,Orthodox,165.1,167.64,37,28
675,Red,0,5,0,7.14,0.48,0.6,1.24,0.5,5,0,11,0,0,1,1,2,1,0,5,Switch,180.34,177.8,0,4,0,4.85,0.5,0.8,1.91,0.29,4,3,35,0,0,0,6,1,3,0,10,Orthodox,170.18,180.34,30,28
676,Red,0,1,0,2.7,0.36,1.1,0.68,0.25,4,5,38,0,0,0,5,1,3,0,9,Orthodox,182.88,185.42,0,1,0,3.93,0.46,0.3,2.7,0.47,7,6,55,0,0,1,8,5,1,0,15,Orthodox,190.5,203.2,32,30
