,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Daniel Pineda,2020-12-12,4,5,0,1,0,3.41,0.49,1.8,1.55,0.29,2,1,0,0,0,0,0,0,0,35,Orthodox,170.18,175.26,0.4444444444444444,9,"Houston, TX USA",USA
Daniel Sarafian,2016-02-21,2,3,0,0,1,18.8,0.6,0.4,0.2,0.2,1,10,0,0,0,0,1,1,0,33,Orthodox,175.26,185.42,0.4,5,Sao Paulo Brazil,Brazil
Daniel Spitz,2018-06-01,1,1,0,0,1,28.0,0.6,0.0,1.0,0.75,1,4,0,0,0,0,1,0,0,27,Orthodox,200.66,208.28,0.5,2,"Spokane, Washington USA",USA
Danielle Taylor,2018-01-14,2,1,0,0,2,44.66666667,0.276666667,0.0,0.333333333,0.333333333,2,9,0,0,1,1,0,0,0,28,Orthodox,152.4,152.4,0.6666666666666666,3,"Van Nuys, California USA",USA
Danny Castillo,2015-12-19,7,6,0,3,0,31.84615385,0.479230769,0.230769231,2.230769231,0.316923077,3,34,0,0,1,4,2,0,0,36,Orthodox,175.26,180.34,0.5384615384615384,13,"Sacramento, California USA",USA
Danny Martinez,2015-11-14,0,3,0,3,0,46.33333333,0.313333333,0.0,1.666666667,0.116666667,0,9,0,0,0,0,0,0,0,30,Orthodox,167.64,170.18,0.0,3,"San Diego, CA USA",USA
Danny Mitchell,2014-08-23,0,1,0,1,0,18.0,0.52,5.0,0.0,0.0,0,3,0,0,0,0,0,0,0,28,Orthodox,187.96,187.96,0.0,1,Doncaster England,England
Danny Roberts,2019-03-16,5,2,0,0,2,31.57142857,0.384285714,0.285714286,0.0,0.0,2,14,0,0,1,1,2,1,0,31,Southpaw,185.42,187.96,0.7142857142857143,7,"Boca Raton, Florida USA",USA
Daron Cruickshank,2016-01-17,6,6,0,3,0,29.08333333,0.3875,0.166666667,1.25,0.301666667,2,27,0,0,1,2,3,0,0,30,Switch,172.72,182.88,0.5,12,"Detroit, Michigan USA",USA
Darrell Horcher,2017-12-09,1,1,0,0,1,21.5,0.35,1.0,0.0,0.0,1,5,0,0,1,0,0,0,0,30,Southpaw,177.8,177.8,0.5,2,"Shermansdale, PA USA",USA
