,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Frank Mir,2016-03-19,16,10,0,1,0,13.0,0.493846154,0.807692308,0.807692308,0.271153846,4,42,5,0,0,2,5,8,0,36,Southpaw,190.5,200.66,0.6153846153846154,26,"Las Vegas, Nevada USA",USA
Frankie Edgar,2021-02-06,18,8,1,0,1,3.7,0.39,0.3,2.28,0.31,5,94,9,0,1,10,5,2,0,39,Orthodox,167.64,172.72,0.6666666666666666,27,"Toms River, New Jersey USA",USA
Frankie Perez,2017-07-22,1,2,0,1,0,16.0,0.533333333,0.333333333,0.666666667,0.193333333,1,7,0,0,0,0,1,0,0,28,Orthodox,180.34,185.42,0.3333333333333333,3,"Howell, New Jersey USA",USA
Frankie Saenz,2020-08-01,5,4,0,1,0,3.97,0.46,0.1,1.77,0.32,3,25,0,0,2,3,0,0,0,39,Orthodox,167.64,167.64,0.5555555555555556,9,"Scottsdale, Arizona USA",USA
Fredy Serrano,2016-12-17,2,1,0,1,0,15.0,0.386666667,0.0,2.666666667,0.366666667,2,7,0,0,0,0,2,0,0,37,Orthodox,160.02,165.1,0.6666666666666666,3,Cundinamarca Colombia,Colombia
Gabriel Benitez,2021-07-17,6,4,0,0,1,4.35,0.39,1.2,0.15,0.5,2,21,0,0,0,2,2,2,0,33,Southpaw,172.72,180.34,0.6,10,"Tijuana, Baja California Mexico",Mexico
Gabriel Gonzaga,2016-04-10,12,9,0,0,1,13.71428571,0.54047619,0.523809524,1.095238095,0.41952381,4,36,1,0,0,1,7,4,0,36,Orthodox,187.96,193.04,0.5714285714285714,21,"Worcester, Massachusetts USA",USA
Gadzhimurad Antigulov,2020-10-17,2,3,0,3,0,2.89,0.56,2.8,8.4,0.42,2,5,0,0,0,0,0,2,0,33,Orthodox,180.34,177.8,0.4,5,Makhachkala Russia,Russia
Garett Whiteley,2014-12-13,0,2,0,2,0,25.5,0.43,1.0,0.0,0.0,0,4,0,0,0,0,0,0,0,33,Orthodox,182.88,182.88,0.0,2,"Indianapolis, Indiana USA",USA
Garreth McLellan,2016-08-27,1,2,0,1,0,40.66666667,0.563333333,1.0,0.666666667,0.133333333,1,8,0,0,0,0,1,0,0,33,Southpaw,185.42,182.88,0.3333333333333333,3,"Sunninghill, Johannesburg Gauteng South Africa",Africa
Gasan Umalatov,2015-11-07,1,2,0,1,0,32.0,0.403333333,0.0,1.0,0.13,1,9,0,0,0,1,0,0,0,33,Orthodox,180.34,180.34,0.3333333333333333,3,"Zinzeli, Astrakhan Oblast Russia",Russia
Gavin Tucker,2021-03-13,4,1,0,0,3,4.39,0.45,1.5,2.98,0.42,3,15,0,0,0,2,0,2,0,34,Southpaw,167.64,167.64,0.8,5,"Halifax, Nova Scotia Canada",Canada
Geane Herrera,2016-11-26,1,2,0,1,0,20.0,0.46,0.666666667,0.666666667,0.5,1,8,0,0,0,0,1,0,0,26,Orthodox,165.1,167.64,0.3333333333333333,3,"Tampa, Florida USA",USA
Gegard Mousasi,2017-04-08,8,3,0,0,4,37.81818182,0.504545455,0.272727273,0.818181818,0.340909091,4,25,0,0,0,3,4,1,0,31,Orthodox,187.96,193.04,0.7272727272727273,11,"Leiden, Holland The Netherlands",Netherlands
George Roop,2015-09-26,5,7,0,1,0,35.33333333,0.361666667,0.083333333,0.666666667,0.325833333,2,28,0,0,1,2,2,0,0,33,Orthodox,185.42,182.88,0.4166666666666667,12,"Tucson, AZ USA",USA
George Sullivan,2018-08-25,3,3,0,2,0,38.66666667,0.463333333,0.5,1.0,0.3,2,14,0,0,0,2,1,0,0,37,Orthodox,182.88,185.42,0.5,6,"Belmar, New Jersey USA",USA
Gerald Meerschaert,2021-08-28,7,6,0,0,1,3.41,0.44,1.8,2.58,0.4,2,24,0,0,0,0,1,6,0,33,Southpaw,185.42,195.58,0.5384615384615384,13,"Milwaukee, Wisconsin USA",USA
Germaine de Randamie,2020-10-03,8,3,0,1,0,2.72,0.47,0.2,0.0,0.0,5,28,2,0,1,3,4,0,0,36,Orthodox,175.26,180.34,0.7272727272727273,11,Utrecht The Netherlands,Netherlands
Gian Villante,2020-12-05,10,11,0,2,0,4.32,0.44,0.0,0.49,0.23,3,52,0,0,3,2,5,0,0,35,Orthodox,190.5,193.04,0.47619047619047616,21,"Bellmore, New York USA",USA
Gilbert Burns,2021-07-10,12,4,0,1,0,3.12,0.46,0.6,2.16,0.36,6,39,1,0,0,5,3,4,0,34,Orthodox,177.8,180.34,0.75,16,"Boca Raton, Florida USA",USA
Gilbert Melendez,2019-07-06,17,7,0,4,0,3.44,0.33,0.2,1.64,0.41,8,74,2,0,2,7,8,0,0,37,Orthodox,175.26,185.42,0.7083333333333334,24,"San Francisco, California USA",USA
Gina Mazany,2021-05-15,2,4,0,0,1,3.43,0.49,0.3,4.7,0.58,1,12,0,0,0,1,1,0,0,32,Southpaw,167.64,172.72,0.3333333333333333,6,"Las Vegas, Nevada USA",USA
Glaico Franca,2016-04-23,1,0,0,0,1,23.0,0.74,1.0,4.0,0.44,1,3,1,0,0,0,0,1,0,25,Orthodox,182.88,195.58,1.0,1,"Balneario Camboriu, Santa Catarina Brazil",Brazil
Gleison Tibau,2018-06-01,16,11,0,3,0,21.22222222,0.361111111,0.62962963,3.111111111,0.496666667,3,64,0,0,5,6,1,4,0,34,Southpaw,177.8,180.34,0.5925925925925926,27,"Coconut Creek, Florida USA",USA
Glover Teixeira,2020-11-07,17,6,0,0,4,3.74,0.47,0.9,1.87,0.38,8,51,1,0,1,2,8,6,0,41,Orthodox,187.96,193.04,0.7391304347826086,23,"Danbury, Connecticut USA",USA
Godofredo Pepey,2018-01-27,5,5,0,1,0,18.4,0.402,0.8,0.2,0.1,3,18,1,0,1,0,1,3,0,30,Orthodox,170.18,185.42,0.5,10,"Fortaleza, Ceara Brazil",Brazil
Gray Maynard,2018-10-06,11,8,0,0,1,25.26315789,0.378947368,0.631578947,2.631578947,0.45,8,54,2,0,3,7,1,0,0,39,Orthodox,175.26,177.8,0.5789473684210527,19,"Las Vegas, Nevada USA",USA
Gregor Gillespie,2021-05-08,6,1,0,1,0,3.74,0.52,0.8,6.86,0.48,6,12,0,0,0,1,3,2,0,34,Orthodox,170.18,180.34,0.8571428571428571,7,"Long Island, New York USA",USA
Guido Cannetti,2021-08-28,2,4,0,2,0,3.2,0.54,0.2,2.04,0.5,1,12,0,0,0,2,0,0,0,41,Southpaw,167.64,172.72,0.3333333333333333,6,"San Antonio de Padua, Buenos Aires Argentina",Argentina
Gunnar Nelson,2019-09-28,8,4,0,1,0,1.71,0.57,0.9,1.72,0.55,4,26,0,0,0,1,0,7,0,31,Switch,180.34,182.88,0.6666666666666666,12,Reykjavik Iceland,Iceland
Guto Inocente,2014-11-07,0,1,0,1,0,6.0,0.75,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,28,Orthodox,190.5,195.58,0.0,1,"Boca Raton, FL USA",USA
Hacran Dias,2017-10-28,3,4,0,2,0,31.0,0.45,0.428571429,2.857142857,0.38,2,21,0,0,1,2,0,0,0,33,Orthodox,172.72,175.26,0.42857142857142855,7,Rio de Janeiro Brazil,Brazil
Hans Stringer,2015-07-18,1,1,0,1,0,38.5,0.64,0.0,2.0,0.56,1,5,0,0,1,0,0,0,0,28,Orthodox,190.5,185.42,0.5,2,Rhen Netherlands,Netherlands
Hatsu Hioki,2015-05-09,3,4,0,1,0,31.42857143,0.432857143,0.714285714,2.285714286,0.555714286,2,20,0,0,1,2,0,0,0,31,Orthodox,180.34,177.8,0.42857142857142855,7,"Nagoya, Aichi Pref. Japan",Japan
Hayder Hassan,2015-12-19,0,1,0,1,0,3.0,0.27,0.0,0.0,0.0,0,2,1,0,0,0,0,0,0,33,Orthodox,177.8,177.8,0.0,1,"Coconut Creek, FL USA",USA
Heather Jo Clark,2016-05-08,1,0,0,0,1,56.0,0.56,1.0,1.0,0.2,1,3,0,0,0,1,0,0,0,35,Orthodox,167.64,162.56,1.0,1,"Las Vegas, Nevada USA",USA
Hector Lombard,2018-09-22,3,8,0,6,0,35.36363636,0.490909091,0.181818182,1.363636364,0.382727273,2,26,0,0,0,1,2,0,0,40,Southpaw,175.26,180.34,0.2727272727272727,11,"Coconut Creek, Florida USA",USA
Hector Sandoval,2017-08-05,2,1,0,0,2,23.33333333,0.503333333,0.666666667,1.666666667,0.176666667,2,5,0,0,0,1,1,0,0,31,Orthodox,157.48,162.56,0.6666666666666666,3,"Sacramento, California USA",USA
Hector Urbina,2016-09-24,1,1,0,1,0,7.0,0.485,2.5,0.0,0.0,1,4,0,0,0,0,0,1,0,29,Orthodox,180.34,185.42,0.5,2,"Muncie, Indiana USA",USA
Henrique da Silva,2017-06-10,2,2,0,2,0,40.75,0.5825,0.25,0.25,0.0825,2,9,0,0,0,0,1,1,0,27,Orthodox,190.5,193.04,0.5,4,"Benevides, Para Brazil",Brazil
Henry Briones,2018-05-19,1,3,0,3,0,33.5,0.3225,0.25,0.0,0.0,1,9,0,0,0,0,0,1,0,37,Orthodox,172.72,175.26,0.25,4,Tijuana Mexico,Mexico
Henry Cejudo,2020-05-09,9,2,0,0,5,3.82,0.44,0.2,2.16,0.35,5,30,4,0,2,4,3,0,0,33,Orthodox,162.56,162.56,0.8181818181818182,11,"Phoenix, Arizona USA",USA
Hernani Perpetuo,2014-07-26,0,1,0,1,0,21.0,0.22,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,29,Orthodox,182.88,187.96,0.0,1,Rio de Janeiro Brazil,Brazil
Holly Holm,2020-10-03,6,5,0,0,1,2.75,0.35,0.1,0.5,0.27,3,38,5,0,1,3,2,0,0,38,Southpaw,172.72,175.26,0.5454545454545454,11,"Albuquerque, New Mexico USA",USA
Horacio Gutierrez,2016-08-06,0,1,0,1,0,10.0,0.26,0.0,0.0,0.0,0,3,1,0,0,0,0,0,0,25,Orthodox,177.8,175.26,0.0,1,"Chicago, Illinois USA",USA
Hugo Viana,2015-08-01,3,2,0,1,0,38.4,0.398,0.0,0.0,0.0,2,11,0,0,1,1,1,0,0,32,Orthodox,167.64,170.18,0.6,5,"Salvador, Bahia Brazil",Brazil
Hyun Gyu Lim,2015-05-16,3,1,0,0,1,55.0,0.5,0.25,0.25,0.25,2,9,0,0,0,0,3,0,0,30,Orthodox,190.5,195.58,0.75,4,Seoul South Korea,Korea
Ian Entwistle,2016-04-10,1,1,0,0,1,0.5,0.055,3.0,0.0,0.0,1,2,0,0,0,0,0,1,0,29,Orthodox,165.1,162.56,0.5,2,"Accrington, Lancashire England",England
Ian McCall,2015-01-31,2,3,0,0,2,61.2,0.414,0.0,2.0,0.28,2,15,0,0,0,2,0,0,0,30,Orthodox,165.1,162.56,0.4,5,"Irvine, California USA",USA
Igor Araujo,2015-07-15,2,1,0,1,0,13.66666667,0.376666667,0.666666667,1.0,0.146666667,2,8,0,0,0,2,0,0,0,34,Orthodox,185.42,195.58,0.6666666666666666,3,"Albuquerque, NM USA",USA
Igor Pokrajac,2016-04-10,4,8,0,5,0,19.75,0.485833333,0.166666667,0.583333333,0.200833333,3,25,0,0,0,1,2,1,0,37,Orthodox,182.88,193.04,0.3333333333333333,12,Zagreb Croatia,Croatia
Ildemar Alcantara,2015-07-15,4,2,0,0,1,28.0,0.41,1.0,2.166666667,0.621666667,2,17,0,0,2,1,0,1,0,32,Orthodox,187.96,198.12,0.6666666666666666,6,"Soure, Para Brazil",Brazil
Ilir Latifi,2021-06-05,7,6,0,3,0,1.84,0.39,0.4,2.02,0.34,3,25,0,0,0,2,3,2,0,37,Orthodox,177.8,185.42,0.5384615384615384,13,Malmo Sweden,Sweden
Ion Cutelaba,2021-09-18,4,5,1,2,0,4.91,0.42,0.0,4.39,0.6,2,19,0,0,0,1,3,0,0,27,Southpaw,185.42,190.5,0.4,10,Chisinau Republic of Moldova,Moldova
Irene Aldana,2021-07-10,5,4,0,1,0,5.61,0.39,0.1,0.22,0.5,3,27,0,0,1,2,1,1,0,33,Orthodox,175.26,172.72,0.5555555555555556,9,"Gudalajara, Jalisco Mexico",Mexico
Isaac Vallie-Flagg,2014-11-22,1,2,0,2,0,68.0,0.393333333,0.0,0.333333333,0.166666667,1,9,0,0,1,0,0,0,0,36,Orthodox,172.72,172.72,0.3333333333333333,3,"Albuquerque, New Mexico USA",USA
Islam Makhachev,2021-07-17,8,1,0,0,7,2.24,0.58,1.0,3.31,0.65,7,20,0,0,0,4,1,3,0,29,Southpaw,177.8,177.8,0.8888888888888888,9,Makhachkala Russia,Russia
Iuri Alcantara,2018-08-25,10,7,0,0,1,27.23529412,0.471764706,0.470588235,0.941176471,0.362352941,3,38,0,0,1,4,3,2,0,38,Southpaw,175.26,180.34,0.5882352941176471,17,"Soure, Para Brazil",Brazil
Ivan Jorge,2015-07-18,2,1,0,0,1,52.33333333,0.503333333,0.666666667,1.666666667,0.166666667,1,9,0,0,0,2,0,0,0,34,Orthodox,175.26,185.42,0.6666666666666666,3,"Florianopolis, Santa Catarina Brazil",Brazil
Ivan Menjivar,2014-03-01,4,4,0,2,0,22.5,0.4525,0.625,0.25,0.25,3,16,0,0,0,1,1,2,0,31,Orthodox,167.64,162.56,0.5,8,"Montreal, Quebec Canada",Canada
JC Cottrell,2017-01-28,0,1,0,1,0,14.0,0.26,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,27,Orthodox,175.26,180.34,0.0,1,"Oklahoma City, Oklahoma USA",USA
JJ Aldrich,2021-08-28,5,3,0,0,1,4.05,0.44,0.0,0.82,0.41,3,23,0,0,1,4,0,0,0,28,Southpaw,165.1,170.18,0.625,8,"Westminster, Colorado USA",USA
Jacare Souza,2021-05-15,19,8,0,3,0,2.53,0.47,1.3,2.57,0.39,8,62,0,0,0,4,5,10,0,41,Orthodox,185.42,182.88,0.7037037037037037,27,Rio de Janeiro Brazil,Brazil
Jack Hermansson,2021-05-22,8,4,0,1,0,4.86,0.45,0.6,2.09,0.36,4,26,0,0,0,2,3,3,0,32,Orthodox,185.42,195.58,0.6666666666666666,12,Oslo Norway,Norway
Jack Marshman,2020-10-31,3,4,0,1,0,2.64,0.28,0.0,0.0,0.0,1,15,0,0,1,1,1,0,0,30,Orthodox,182.88,185.42,0.42857142857142855,7,Abertillery South Wales,Wales
Jack May,2014-08-16,0,1,0,1,0,5.0,0.83,0.0,1.0,0.33,0,1,0,0,0,0,0,0,0,33,Switch,203.2,200.66,0.0,1,"Fullerton, CA USA",USA
Jake Collier,2021-06-12,4,4,0,0,1,5.52,0.42,0.3,0.48,0.21,1,18,0,0,1,2,1,0,0,32,Orthodox,190.5,198.12,0.5,8,"Cuba, Missouri USA",USA
Jake Ellenberger,2018-08-25,10,10,0,3,0,20.25,0.4115,0.2,1.15,0.3525,6,40,0,0,1,2,5,1,1,33,Orthodox,175.26,180.34,0.5,20,"Lake Forest, California USA",USA
Jake Lindsey,2014-10-04,0,1,0,1,0,49.0,0.65,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,28,Switch,180.34,180.34,0.0,1,"Manhattan, Kansas USA",USA
Jake Matthews,2021-03-06,10,4,0,0,3,3.03,0.44,0.6,1.93,0.41,3,34,0,0,1,4,1,4,0,26,Orthodox,180.34,185.42,0.7142857142857143,14,"Epping, Victoria Australia",Australia
James Krause,2020-10-17,8,6,0,1,0,4.65,0.48,1.0,1.05,0.18,6,33,0,0,0,3,3,2,0,34,Orthodox,187.96,185.42,0.5714285714285714,14,"Lee's Summit, Missouri USA",USA
James Moontasri,2016-12-17,2,3,0,1,0,19.2,0.466,0.2,0.0,0.0,1,10,0,0,0,0,1,1,0,28,Switch,177.8,180.34,0.4,5,"Los Angeles, California USA",USA
James Te Huna,2016-03-19,5,4,0,3,0,26.77777778,0.557777778,0.111111111,1.222222222,0.164444444,4,15,0,0,0,2,3,0,0,34,Orthodox,187.96,190.5,0.5555555555555556,9,Penrith Australia,Australia
James Vick,2019-10-12,9,4,0,3,0,4.13,0.39,0.7,0.26,0.33,5,26,0,0,0,4,2,3,0,32,Orthodox,190.5,193.04,0.6923076923076923,13,"Fort Worth, Texas USA",USA
Jamie Moyle,2018-07-07,1,1,0,1,0,76.5,0.555,0.0,1.5,0.15,1,6,0,0,0,1,0,0,0,29,Orthodox,154.94,165.1,0.5,2,"Las Vegas, NV USA",USA
Jamie Varner,2014-12-13,3,5,0,3,0,29.875,0.39,0.75,2.875,0.64125,2,17,0,0,1,0,1,1,0,30,Orthodox,172.72,182.88,0.375,8,"Tempe, Arizona USA",USA
Jan Blachowicz,2021-03-06,10,5,0,0,4,3.59,0.49,0.2,1.18,0.53,4,39,1,0,1,3,4,2,0,38,Orthodox,187.96,198.12,0.6666666666666666,15,Warsaw Poland,Poland
Jared Cannonier,2021-08-21,6,5,0,1,0,3.6,0.49,0.0,0.12,0.33,3,23,0,0,0,1,5,0,0,37,Switch,180.34,195.58,0.5454545454545454,11,"Anchorage, Alaska USA",USA
Jared Rosholt,2016-02-06,6,1,0,0,3,26.57142857,0.537142857,0.142857143,1.857142857,0.378571429,3,19,0,0,0,5,1,0,0,29,Orthodox,187.96,190.5,0.8571428571428571,7,"Arlington, Texas USA",USA
Jarjis Danho,2021-04-10,0,1,1,1,0,3.38,0.5,0.0,0.51,0.16,0,6,0,0,0,0,0,0,0,37,Orthodox,190.5,187.96,0.0,2,Nuremberg Germany,Germany
Jason Gonzalez,2019-04-27,1,2,0,1,0,12.0,0.353333333,0.333333333,0.0,0.0,1,4,0,0,0,0,0,1,0,29,Southpaw,187.96,187.96,0.3333333333333333,3,"Rancho Cucamonga, California USA",USA
Jason High,2014-06-07,2,2,0,0,2,4.5,0.2375,2.25,1.25,0.45,2,8,0,0,0,1,0,1,0,32,Southpaw,172.72,180.34,0.5,4,"Kansas City, MO USA",USA
Jason Knight,2018-11-03,4,4,0,3,0,40.75,0.36125,1.625,1.25,0.30125,4,21,0,0,1,1,1,1,0,26,Orthodox,177.8,180.34,0.5,8,"D'Iberville, Mississippi USA",USA
Jason Novelli,2016-11-05,0,1,0,1,0,8.0,0.28,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,37,Orthodox,182.88,190.5,0.0,1,"Portland, Oregon USA",USA
Jason Saggo,2017-09-16,3,2,0,1,0,25.2,0.436,0.0,1.8,0.306,2,11,0,0,1,0,2,0,0,31,Orthodox,180.34,180.34,0.6,5,"Charlottetown, Prince Edward Island Canada",Canada
Jenel Lausa,2018-06-23,1,2,0,2,0,23.66666667,0.33,1.0,0.666666667,0.5,1,9,0,0,0,1,0,0,0,29,Orthodox,165.1,172.72,0.3333333333333333,3,Manila Philippines,Philippines
Jeremy Kennedy,2018-02-10,3,0,0,0,3,38.0,0.476666667,0.0,7.0,0.6,3,9,0,0,0,3,0,0,0,25,Orthodox,180.34,180.34,1.0,3,"Surrey, British Columbia Canada",Canada
Jeremy Kimball,2017-06-25,0,1,0,1,0,5.0,0.29,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,26,Switch,182.88,182.88,0.0,1,"Colorado Springs, Colorado USA",USA
Jeremy Stephens,2021-07-17,15,17,0,4,0,3.17,0.4,0.4,1.16,0.38,3,85,0,0,1,6,8,0,0,35,Orthodox,175.26,180.34,0.46875,32,"San Diego, California USA",USA
Jerrod Sanders,2016-07-07,1,2,0,0,1,6.0,0.613333333,1.0,1.0,0.123333333,1,5,0,0,0,1,0,0,0,36,Orthodox,172.72,182.88,0.3333333333333333,3,"Oklahoma City, OK USA",USA
Jessamyn Duke,2015-07-25,1,2,0,2,0,64.33333333,0.503333333,1.0,0.666666667,0.22,1,7,0,0,0,1,0,0,0,29,Orthodox,180.34,185.42,0.3333333333333333,3,"Glendale, CA USA",USA
Jesse Ronson,2020-07-25,0,3,0,3,0,3.09,0.46,0.3,0.67,0.4,0,9,0,0,0,0,0,0,0,34,Southpaw,177.8,182.88,0.0,3,"London, Ontario Canada",Canada
Jessica Aguilar,2019-03-30,1,3,0,1,0,66.0,0.5725,0.0,1.0,0.2,1,10,0,0,0,1,0,0,0,36,Orthodox,160.02,160.02,0.25,4,,None
Jessica Andrade,2021-09-25,12,7,0,1,0,6.24,0.5,0.4,2.9,0.55,4,42,4,0,1,5,4,2,0,30,Orthodox,154.94,157.48,0.631578947368421,19,"Niteroi, Rio de Janeiro Brazil",Brazil
Jessica Eye,2021-07-10,5,8,0,2,0,3.96,0.36,0.5,0.55,0.44,3,42,1,0,2,2,1,0,0,34,Orthodox,167.64,167.64,0.38461538461538464,13,"Cleveland, Ohio USA",USA
Jessica Penne,2021-08-07,5,4,0,0,1,2.41,0.34,0.7,1.57,0.25,2,24,1,0,2,0,1,2,0,38,Orthodox,165.1,170.18,0.5555555555555556,9,"Huntington Beach, California USA",USA
Jessica Rakoczy,2015-04-25,0,1,0,1,0,4.0,0.8,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,38,Orthodox,170.18,172.72,0.0,1,"Las Vegas, NV USA",USA
Jessin Ayari,2020-10-03,1,2,0,2,0,3.58,0.38,0.3,0.0,0.0,1,9,0,0,1,0,0,0,0,28,Orthodox,182.88,185.42,0.3333333333333333,3,Nuremberg Germany,Germany
Jim Alers,2016-07-23,1,2,0,2,0,31.33333333,0.403333333,0.333333333,1.0,0.3,1,7,0,0,1,0,0,0,0,29,Orthodox,175.26,180.34,0.3333333333333333,3,"Fort Lauderdale, Florida USA",USA
Jim Miller,2021-04-10,21,14,0,1,0,2.65,0.4,1.8,1.63,0.43,7,80,0,0,2,6,3,10,0,37,Southpaw,172.72,180.34,0.6,35,"Sparta, New Jersey USA",USA
Jimi Manuwa,2019-06-01,6,5,0,3,0,26.09090909,0.537272727,0.181818182,0.272727273,0.090909091,3,21,0,0,0,1,3,0,2,39,Orthodox,185.42,200.66,0.5454545454545454,11,London England,England
Jimmie Rivera,2021-02-27,7,3,0,0,1,4.03,0.4,0.1,0.88,0.27,5,26,0,0,1,5,1,0,0,31,Orthodox,162.56,172.72,0.7,10,"Ramsey, New Jersey USA",USA
Jimmy Wallhead,2017-06-03,0,1,0,1,0,47.0,0.34,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,33,Orthodox,177.8,185.42,0.0,1,Loughborough England,England
Jimy Hettes,2015-04-18,3,2,0,1,0,41.8,0.6,1.2,4.2,0.414,2,13,0,0,0,1,0,2,0,27,Southpaw,175.26,180.34,0.6,5,"Swoyersville, Pennsylvania USA",USA
Joachim Christensen,2017-05-13,1,1,0,0,1,45.5,0.415,0.0,0.0,0.0,1,5,0,0,0,0,1,0,0,38,Orthodox,190.5,193.04,0.5,2,Copenhagen Denmark,Denmark
Joanna Jedrzejczyk,2020-03-07,10,3,0,0,1,6.18,0.47,0.1,0.3,0.62,8,50,9,0,1,7,2,0,0,32,Orthodox,167.64,165.1,0.7692307692307693,13,Olsztyn Poland,Poland
Joanne Calderwood,2021-06-12,7,5,0,0,1,6.75,0.5,0.4,1.62,0.55,2,28,0,0,1,4,1,1,0,35,Orthodox,167.64,165.1,0.5833333333333334,12,Glasgow Scotland,Scotland
Joaquim Silva,2021-06-19,4,2,0,1,0,3.9,0.37,0.7,0.23,0.5,3,15,0,0,2,0,2,0,0,32,Southpaw,172.72,175.26,0.6666666666666666,6,Curitiba Brazil,Brazil
Joby Sanchez,2018-11-10,1,3,0,2,0,33.5,0.2625,0.25,0.5,0.25,1,9,0,0,1,0,0,0,0,27,Orthodox,167.64,172.72,0.25,4,"Albuquerque, New Mexico USA",USA
Jocelyn Jones-Lybarger,2017-01-15,0,2,0,2,0,54.0,0.3,0.0,0.5,0.5,0,6,0,0,0,0,0,0,0,31,Orthodox,170.18,162.56,0.0,2,"Glendale, Arizona USA",USA
Joe Duffy,2020-07-18,4,3,0,2,0,2.56,0.33,0.8,0.75,0.6,2,14,0,0,0,1,1,2,0,32,Orthodox,177.8,185.42,0.5714285714285714,7,Donegal Ireland,Ireland
Joe Lauzon,2018-04-07,14,11,0,2,0,21.28,0.424,1.16,1.32,0.3984,3,50,0,0,1,1,4,7,1,33,Orthodox,177.8,180.34,0.56,25,"Bridgewater, Massachusetts USA",USA
Joe Proctor,2017-04-22,4,3,0,1,0,30.57142857,0.388571429,1.142857143,0.0,0.0,2,14,0,0,0,1,2,1,0,31,Orthodox,177.8,182.88,0.5714285714285714,7,"Bridgewater, Massachusetts USA",USA
Joe Riggs,2016-02-21,5,6,0,0,1,15.0,0.465454545,0.181818182,1.181818182,0.639090909,1,18,0,0,0,1,1,1,1,33,Southpaw,182.88,177.8,0.45454545454545453,11,"Glendale, Arizona USA",USA
Joe Soto,2018-02-03,3,4,0,1,0,33.85714286,0.408571429,1.285714286,0.571428571,0.352857143,3,17,1,0,0,1,0,2,0,30,Orthodox,167.64,165.1,0.42857142857142855,7,"Porterville, California USA",USA
Joey Gomez,2016-09-17,0,1,0,1,0,15.0,0.21,0.0,1.0,1.0,0,2,0,0,0,0,0,0,0,27,Orthodox,177.8,180.34,0.0,1,"Brookline, New Hampshire USA",USA
John Dodson,2020-08-15,10,6,0,0,1,3.3,0.41,0.0,0.76,0.28,3,46,3,0,1,3,6,0,0,35,Orthodox,160.02,167.64,0.625,16,"Albuquerque, New Mexico USA",USA
John Hathaway,2014-03-01,7,1,0,0,3,47.875,0.4125,0.875,2.5,0.4025,4,22,0,0,1,5,1,0,0,26,Orthodox,185.42,190.5,0.875,8,"Brighton, Sussex England",England
John Howard,2015-12-10,7,6,0,0,1,26.84615385,0.562307692,0.384615385,2.153846154,0.411538462,4,35,0,0,4,1,2,0,0,32,Orthodox,170.18,180.34,0.5384615384615384,13,"Boston, Massachusetts USA",USA
John Lineker,2019-04-27,12,3,0,0,2,60.26666667,0.414,0.466666667,0.4,0.166666667,6,38,0,0,1,4,6,1,0,28,Orthodox,160.02,170.18,0.8,15,"Paranagua, Parana Brazil",Brazil
John Makdessi,2021-04-10,10,7,0,1,0,5.57,0.51,0.0,0.0,0.0,3,42,0,0,1,6,3,0,0,35,Orthodox,172.72,172.72,0.5882352941176471,17,"Montreal, Quebec Canada",Canada
John Moraga,2018-08-25,8,5,0,0,3,32.23076923,0.431538462,0.846153846,0.538461538,0.203846154,3,35,1,0,1,2,2,3,0,34,Orthodox,167.64,167.64,0.6153846153846154,13,"Phoenix, Arizona USA",USA
Johnny Bedford,2014-09-13,2,3,0,3,0,35.4,0.562,0.0,1.0,0.332,2,10,0,0,0,0,2,0,0,31,Orthodox,177.8,180.34,0.4,5,"Colleyville, TX USA",USA
Johnny Case,2017-06-25,4,1,0,1,0,44.2,0.374,0.0,1.8,0.306,4,14,0,0,0,2,1,1,0,27,Orthodox,177.8,182.88,0.8,5,"Jefferson, Iowa USA",USA
Johnny Eduardo,2021-10-02,3,4,0,2,0,2.95,0.39,0.4,0.22,0.2,2,14,0,0,0,1,2,0,0,43,Orthodox,170.18,180.34,0.42857142857142855,7,Rio de Janeiro Brazil,Brazil
Johny Hendricks,2017-11-04,13,7,0,1,0,42.9,0.508,0.3,3.05,0.3095,6,54,3,1,2,5,5,0,0,34,Southpaw,175.26,175.26,0.65,20,"Fort Worth, Texas USA",USA
Jon Delos Reyes,2015-10-24,1,2,0,0,1,15.0,0.416666667,1.0,0.666666667,0.666666667,1,4,0,0,0,0,0,1,0,28,Orthodox,167.64,170.18,0.3333333333333333,3,Tamuning Guam,Guam
Jon Jones,2020-02-08,19,1,0,0,16,4.31,0.57,0.5,1.9,0.46,16,68,14,0,1,8,5,5,0,32,Orthodox,193.04,213.36,0.95,20,"Albuquerque, New Mexico USA",USA
