,0
B_current_lose_streak,0.06455732770317135
B_current_win_streak,0.12223014782283431
B_draw,0.05203833590635422
B_avg_SIG_STR_landed,0.08149117558306944
B_avg_SIG_STR_pct,-0.00867531615383128
B_avg_SUB_ATT,-0.010118470142201368
B_avg_TD_landed,0.07501109339133483
B_avg_TD_pct,-0.05558222014266207
B_longest_win_streak,0.02976915953477471
B_losses,-0.07408548016814046
B_total_rounds_fought,-0.05365837548804193
B_total_title_bouts,-0.09570092915077318
B_win_by_Decision_Majority,-0.0407874526549324
B_win_by_Decision_Split,-0.10123382695034816
B_win_by_Decision_Unanimous,0.08082032905174434
B_win_by_KO/TKO,-0.059548570016825536
B_win_by_Submission,-0.02099781376621664
B_win_by_TKO_Doctor_Stoppage,-0.023069821708356242
B_wins,0.21301271054724275
B_Height_cms,0.004730070609560317
B_Reach_cms,0.12213856248863839
R_current_lose_streak,0.02984765797936639
R_current_win_streak,-0.024564242122553863
R_draw,-0.007180954436812773
R_avg_SIG_STR_landed,-0.06104726949602901
R_avg_SIG_STR_pct,-0.08557197018751438
R_avg_SUB_ATT,0.03302204469822972
R_avg_TD_landed,-0.12073631014954739
R_avg_TD_pct,-0.004850994884860278
R_longest_win_streak,-0.0915952855287906
R_losses,0.1277392811448853
R_total_rounds_fought,-0.0750226829310238
R_total_title_bouts,-0.0579946852177123
R_win_by_Decision_Majority,0.052490807278621564
R_win_by_Decision_Split,0.1852424027606169
R_win_by_Decision_Unanimous,-0.016940816465777223
R_win_by_KO/TKO,0.060840231557196936
R_win_by_Submission,0.020029109472577952
R_win_by_TKO_Doctor_Stoppage,0.054308536329781346
R_wins,-0.0855282544671208
R_Height_cms,0.11885752272484858
R_Reach_cms,-0.16650354796116143
R_age,0.1852643337756013
B_age,-0.3124225818991043
B_Stance_Open Stance,0.12035012810764517
B_Stance_Orthodox,-0.020533593963856636
B_Stance_Southpaw,-0.0005273639104630128
B_Stance_Switch,0.03242045923033287
R_Stance_Open Stance,0.17056106313004868
R_Stance_Orthodox,0.020173776342586235
R_Stance_Southpaw,-0.04421895259496692
R_Stance_Switch,0.024401056950306556
